id,created_at,client_id,channel,topic,priority,agent_id,first_reply_at,resolved_at,status,reopened,csat
t002247,2025-06-24 13:13:00,u01311,чат,техническая проблема,1,a08,2025-06-24 13:30:34,2025-06-24 22:53:47,решено,0,5
t005634,2025-06-25 09:36:00,u02462,почта,техническая проблема,1,a08,2025-06-25 10:04:57,2025-06-25 22:54:14,решено,0,
t005719,2025-04-14 09:26:00,u08172,Чат,доступ и пароли,3,a06,2025-04-14 09:51:11,,в работе,0,
t001387,2025-02-05 02:42:00,u02416,почта,доступ и пароли,1,a03,2025-02-05 02:51:31,2025-02-05 03:31:56,решено,1,
t001864,2025-05-03 11:54:00,u03843,чат,прочее,2,a06,2025-05-03 11:58:59,,в работе,0,
t002510,2025-06-11 12:32:00,u07160,телефон,оплата и документы,1,a06,2025-06-11 13:26:01,2025-06-11 19:25:34,решено,0,
t004000,2025-03-05 07:26:00,u05423,Чат,доступ и пароли,1,a09,2025-03-05 07:46:21,2025-03-05 08:38:27,решено,0,4
t003344,2025-06-16 11:46:00,u00134,почта,доступ и пароли,2,a18,2025-06-16 11:58:22,2025-06-16 12:11:55,решено,0,
t005110,2025-05-20 10:39:00,u02805,почта,"",2,a07,2025-05-20 10:42:04,2025-05-20 13:32:44,решено,0,
t005035,2025-06-18 10:03:00,u03870,форма,расписание и посещаемость,2,a01,2025-06-18 10:13:02,,в работе,0,
t004053,19.06.2025 15:41,u05189,чат,оплата и документы,2,a12,2025-06-19 15:48:09,2025-06-19 22:32:53,решено,0,
t001560,2025-05-07 08:05:00,u02021,форма,прочее,2,a07,2025-05-07 08:43:42,2025-05-07 15:02:05,решено,0,
t004595,06.04.2025 08:41,u08560,чат,расписание и посещаемость,3,a10,2025-04-06 08:55:19,2025-04-06 13:13:21,решено,0,
t005166,2025-04-20 13:23:00,u01954,чат,прочее,2,a05,2025-04-20 13:37:29,2025-04-20 20:37:20,решено,0,
t001884,2025-03-19 13:51:00,u00606,чат,доступ и пароли,3,a03,2025-03-19 15:13:35,2025-03-19 16:49:39,решено,0,5
t002559,2025-05-06 10:55:00,u04255,телефон,прочее,3,a03,2025-05-06 11:24:39,2025-05-06 13:50:39,решено,0,
t002988,20.03.2025 03:58,u00321,чат,доступ и пароли,2,a05,2025-03-20 04:04:57,2025-03-20 05:40:01,закрыто без ответа,0,1
t004262,2025-02-04 11:16:00,u06355,почта,доступ и пароли,2,a06,2025-02-04 11:35:25,2025-02-04 12:32:01,решено,1,1
t003237,2025-03-22 05:02:00,u02201,чат,техническая проблема,1,a07,2025-03-22 06:44:40,2025-03-22 17:28:42,решено,0,4
t005335,2025-01-08 02:13:00,u04617,чат,оплата и документы,3,a12,2025-01-08 02:40:17,2025-01-08 04:58:06,решено,0,5
t000003,02.04.2025 01:24,u08143,чат,оплата и документы,2,a18,2025-04-02 02:11:00,,в работе,0,3
t005810,2025-01-26 07:23:00,u01065,чат,техническая проблема,1,a12,2025-01-26 08:00:37,2025-01-26 13:04:32,решено,0,1
t004284,2025-06-26 07:33:00,u04141,чат,доступ и пароли,2,a07,2025-06-26 08:01:13,2025-06-26 08:20:41,решено,0,
t000384,18.05.2025 13:08,u03015,чат,доступ и пароли,2,a12,2025-05-18 13:16:09,2025-05-18 14:43:15,решено,0,
t004610,2025-05-22 05:32:00,u02970,чат,оплата и документы,1,a05,2025-05-22 06:29:56,2025-05-22 08:20:24,решено,0,4
t001749,2025-06-06 03:29:00,u00260,телефон,техническая проблема,1,a17,2025-06-06 04:06:37,2025-06-06 07:43:46,решено,0,3
t000743,2025-01-26 19:55:00,u03493,почта,расписание и посещаемость,1,a08,2025-01-26 20:07:33,2025-01-26 21:31:56,решено,0,
t001637,07.06.2025 05:07,u06270,чат,оплата и документы,2,a06,2025-06-07 05:24:12,2025-06-07 05:57:18,решено,0,
t003932,2025-04-18 12:11:00,u05397,чат,оплата и документы,2,a16,2025-04-18 12:20:36,2025-04-18 22:17:07,решено,0,
t001270,2025-03-23 20:07:00,u06605,чат,доступ и пароли,1,a06,2025-03-23 20:12:40,2025-03-22 20:28:26,решено,0,
t004027,2025-05-04 12:24:00,u07302,чат,расписание и посещаемость,1,a12,2025-05-04 12:30:35,2025-05-04 13:24:51,решено,0,
t000852,2025-01-04 10:15:00,u04070,Чат,доступ и пароли,1,a04,2025-01-04 11:10:07,2025-01-04 13:12:52,решено,0,
t004579,10.03.2025 13:05,u03678,телефон,оплата и документы,2,a01,2025-03-10 14:04:47,2025-03-10 15:40:05,решено,1,
t004267,2025-06-19 03:16:00,u03093,форма,расписание и посещаемость,3,a11,2025-06-19 04:15:37,2025-06-19 07:57:10,решено,0,
t001134,2025-01-04 13:55:00,u04070,чат,доступ и пароли,2,a04,2025-01-04 15:06:42,2025-01-04 15:29:50,решено,0,
t004264,05.04.2025 12:23,u08495,почта,,3,a01,2025-04-05 12:34:58,,в работе,0,
t001293,08.02.2025 12:18,u06485,чат,оплата и документы,2,a09,2025-02-08 12:21:04,2025-02-08 15:38:51,решено,0,
t004283,2025-03-16 06:00:00,u08321,чат,доступ и пароли,1,a17,2025-03-16 07:09:00,2025-03-16 07:15:24,решено,0,
t001054,2025-03-02 21:25:00,u01218,чат,доступ и пароли,3,a10,2025-03-02 21:38:22,2025-03-02 21:59:01,решено,0,
t004949,21.05.2025 11:07,u01052,чат,расписание и посещаемость,2,a05,2025-05-21 12:09:48,2025-05-21 14:19:32,решено,0,
t004343,2025-03-06 06:45:00,u01639,почта,доступ и пароли,2,a05,2025-03-06 06:48:34,2025-03-06 08:00:02,решено,0,
t005762,2025-05-06 05:16:00,u07409,чат,оплата и документы,2,a03,2025-05-06 05:21:49,2025-05-06 11:27:15,решено,0,
t001751,2025-03-21 03:47:00,u02174,почта,доступ и пароли,1,a05,2025-03-21 03:50:13,2025-03-21 05:07:21,решено,0,
t002886,26.06.2025 03:35,u04141,чат,расписание и посещаемость,2,a18,2025-06-26 03:41:33,2025-06-26 11:07:34,решено,0,
t001444,03.06.2025 12:36,u03590,чат,оплата и документы,3,a18,2025-06-03 13:28:04,2025-06-03 20:27:09,решено,0,4
t004271,01.04.2025 04:55,u07751,телефон,оплата и документы,3,a09,2025-04-01 05:01:38,2025-04-01 06:48:21,решено,0,
t004258,2025-06-23 11:53:00,u07933,почта,доступ и пароли,2,a18,2025-06-23 12:48:59,2025-06-23 15:42:37,решено,0,
t001901,09.05.2025 07:51,u06141,чат,расписание и посещаемость,1,a17,2025-05-09 07:55:55,2025-05-09 11:53:39,решено,0,
t005152,2025-02-26 18:31:00,u05813,чат,доступ и пароли,1,a06,2025-02-26 18:56:36,2025-02-26 19:42:11,решено,0,
t001505,2025-02-01 05:41:00,u01743,чат,доступ и пароли,3,a12,2025-02-01 06:47:36,2025-02-01 07:00:14,решено,0,
t002549,2025-05-03 06:45:00,u05029,чат,оплата и документы,1,a10,2025-05-03 06:49:34,2025-05-03 20:23:38,решено,0,
t005148,2025-04-18 09:49:00,u00703,чат,доступ и пароли,2,a16,2025-04-18 10:17:14,2025-04-18 10:34:53,решено,1,
t001958,2025-02-12 07:36:00,u08453,форма,NULL,2,a04,2025-02-12 09:23:59,2025-02-12 10:13:48,решено,0,
t004174,2025-01-09 03:23:00,u02046,чат,техническая проблема,3,a01,2025-01-09 03:44:12,2025-01-09 13:15:15,решено,0,
t005613,2025-04-05 03:30:00,u06347,чат,расписание и посещаемость,1,a05,2025-04-05 03:33:46,2025-04-05 05:38:03,решено,0,
t004436,2025-06-10 01:12:00,u04963,чат,техническая проблема,1,a03,2025-06-10 01:19:56,2025-06-10 08:50:55,решено,1,
t000335,2025-01-19 01:59:00,u06616,чат,доступ и пароли,1,a10,2025-01-19 02:07:39,2025-01-19 02:44:08,решено,0,4
t002206,05.03.2025 01:29,u07455,чат,техническая проблема,3,a08,2025-03-05 03:00:51,2025-03-05 17:24:21,решено,0,
t000481,26.01.2025 11:47,u03587,чат,техническая проблема,2,a13,2025-01-26 12:13:37,2025-01-26 15:43:08,решено,0,3
t004102,01.01.2025 02:06,u08610,чат,доступ и пароли,2,a03,2025-01-01 02:29:59,2025-01-01 04:08:52,решено,0,
t003386,2025-05-02 15:36:00,u04865,чат,доступ и пароли,1,a04,,,новое,0,
t005804,24.03.2025 11:37,u05297,телефон,доступ и пароли,2,a17,2025-03-24 12:49:53,2025-03-24 14:57:09,решено,0,
t000386,2025-04-22 08:21:00,u02615,форма,техническая проблема,2,a03,2025-04-22 09:22:39,2025-04-22 18:30:18,решено,0,
t003149,2025-04-24 04:35:00,u08311,форма,доступ и пароли,1,a07,2025-04-24 04:42:29,2025-04-24 05:20:27,решено,1,
t004638,23.06.2025 11:07,u00838,чат,техническая проблема,1,a15,2025-06-23 11:12:41,2025-06-23 18:04:03,решено,0,
t005781,2025-05-05 16:58:00,u05963,почта,,2,a03,2025-05-05 17:29:08,2025-05-05 19:10:05,решено,0,
t002708,2025-06-04 03:29:00,u01182,чат,оплата и документы,2,a09,2025-06-04 04:30:20,2025-06-04 10:01:35,решено,0,
t004220,24.03.2025 12:51,u07904,чат,расписание и посещаемость,2,a17,2025-03-24 13:17:57,2025-03-24 20:15:06,решено,0,
t005235,2025-01-26 13:35:00,u06571,почта,доступ и пароли,2,a03,2025-01-26 13:52:30,2025-01-26 15:12:56,решено,0,
t004443,2025-01-13 18:51:00,u04500,почта,доступ и пароли,2,a02,2025-01-13 19:07:54,2025-01-13 20:21:45,решено,1,5
t001826,2025-02-11 08:54:00,u07217,чат,доступ и пароли,2,a17,2025-02-11 09:22:38,2025-02-11 11:19:44,решено,0,
t003480,2025-01-23 12:40:00,u03529,почта,оплата и документы,2,a08,2025-01-23 13:44:14,2025-01-23 19:33:38,решено,0,
t002769,2025-02-07 01:55:00,u06644,чат,доступ и пароли,3,a12,2025-02-07 03:05:30,2025-02-07 03:08:22,решено,1,
t005875,07.05.2025 07:20,u02368,форма,доступ и пароли,3,a15,2025-05-07 08:18:14,2025-05-07 09:29:13,решено,0,
t003561,2025-03-21 12:56:00,u06779,почта,расписание и посещаемость,2,a12,2025-03-21 13:00:25,2025-03-21 17:23:54,решено,0,
t002156,2025-02-05 05:26:00,u06798,телефон,доступ и пароли,1,a15,2025-02-05 06:59:41,2025-02-05 07:08:27,решено,1,5
t004235,16.06.2025 08:23,u03931,телефон,прочее,2,a16,2025-06-16 08:45:59,2025-06-16 11:47:37,решено,0,
t005482,02.03.2025 12:16,u05364,форма,доступ и пароли,1,a18,2025-03-02 12:43:28,2025-03-02 13:08:33,закрыто без ответа,0,3
t001564,2025-05-17 15:40:00,u04006,Чат,оплата и документы,3,a02,2025-05-17 15:42:19,2025-05-17 19:44:11,решено,0,
t003957,2025-06-02 06:58:00,u06341,телефон,техническая проблема,1,a10,2025-06-02 07:00:19,2025-06-02 17:55:00,решено,0,
t001792,2025-06-19 10:19:00,u02526,почта,техническая проблема,2,a05,2025-06-19 11:00:08,2025-06-19 21:55:45,решено,0,
t005124,2025-04-07 02:57:00,u08372,телефон,доступ и пароли,2,a09,2025-04-07 03:02:59,2025-04-07 03:29:50,решено,0,
t002835,2025-05-10 01:00:00,u00306,чат,NULL,1,a05,2025-05-10 01:09:41,2025-05-10 02:26:48,решено,0,
t002483,2025-05-21 04:10:00,u05203,чат,оплата и документы,2,a06,2025-05-21 04:13:26,2025-05-21 09:39:28,решено,0,
t003856,2025-01-01 09:18:00,u06376,форма,расписание и посещаемость,3,a01,2025-01-01 11:04:30,2025-01-01 14:40:45,решено,0,
t005485,2025-01-18 09:16:00,u06861,телефон,доступ и пароли,3,a06,2025-01-18 10:14:23,2025-01-18 11:57:36,решено,0,5
t003674,2025-05-09 17:52:00,u01022,чат,расписание и посещаемость,2,a03,2025-05-09 18:41:36,2025-05-09 20:26:39,решено,0,
t005097,20.04.2025 03:03,u02108,форма,NULL,2,a05,2025-04-20 03:18:54,2025-04-20 10:10:40,решено,0,
t000285,2025-02-25 12:06:00,u05326,Чат,доступ и пароли,2,a15,2025-02-25 12:30:05,2025-02-24 12:30:48,решено,0,
t005264,2025-05-19 09:40:00,u06946,телефон,расписание и посещаемость,1,a17,2025-05-19 09:47:15,2025-05-19 18:40:47,решено,0,
t004613,16.02.2025 01:33,u07147,чат,доступ и пароли,2,a04,2025-02-16 02:31:09,2025-02-16 03:59:37,решено,0,5
t002424,12.03.2025 06:26,u04674,почта,техническая проблема,1,a08,2025-03-12 07:58:50,2025-03-12 16:29:19,решено,0,3
t004720,2025-04-13 04:08:00,u07338,чат,техническая проблема,2,a08,2025-04-13 04:09:57,2025-04-13 07:44:05,решено,0,
t001040,2025-03-12 12:02:00,u08457,чат,доступ и пароли,2,a15,2025-03-12 13:24:09,2025-03-12 18:10:38,решено,0,
t001159,2025-05-21 10:48:00,u01005,чат,расписание и посещаемость,2,a06,2025-05-21 11:51:26,2025-05-21 15:17:38,решено,0,
t000543,05.06.2025 11:21,u08954,чат,расписание и посещаемость,1,a17,2025-06-05 11:34:11,2025-06-05 13:49:22,решено,0,
t003360,10.02.2025 12:08,u05324,почта,расписание и посещаемость,1,a18,2025-02-10 13:51:34,2025-02-10 15:25:46,решено,0,
t000410,24.02.2025 13:16,u02427,форма,"",2,a08,2025-02-24 14:56:11,2025-02-24 16:05:24,решено,0,
t003773,2025-03-09 04:37:00,u00961,телефон,,2,a09,2025-03-09 05:01:16,2025-03-09 09:19:18,решено,0,2
t000154,2025-05-19 19:29:00,u08929,почта,техническая проблема,1,a06,2025-05-19 19:36:15,2025-05-20 05:41:53,решено,0,
t003292,2025-06-08 10:21:00,u03746,чат,оплата и документы,1,a18,2025-06-08 10:47:11,2025-06-08 14:51:20,решено,0,
t001794,2025-01-03 15:26:00,u08786,почта,доступ и пароли,1,a03,2025-01-03 17:09:22,2025-01-03 17:21:53,решено,0,1
t004049,2025-06-06 01:42:00,u04506,телефон,прочее,2,a04,2025-06-06 01:54:58,2025-06-06 05:33:00,решено,0,
t003162,2025-05-22 12:34:00,u08056,форма,доступ и пароли,2,a02,2025-05-22 12:51:27,,в работе,0,
t005766,2025-04-19 12:26:00,u04609,форма,доступ и пароли,2,a17,2025-04-19 12:32:32,2025-04-19 13:12:31,решено,0,5
t004308,2025-04-24 14:56:00,u01482,телефон,расписание и посещаемость,3,a10,2025-04-24 15:26:07,2025-04-24 17:08:56,решено,0,
t000885,2025-02-08 11:01:00,u02497,телефон,доступ и пароли,1,a01,2025-02-08 12:01:06,2025-02-08 14:52:30,закрыто без ответа,0,
t005576,02.06.2025 09:29,u03424,чат,техническая проблема,2,a01,2025-06-02 09:38:56,2025-06-02 15:44:31,решено,0,
t003101,2025-02-02 08:51:00,u01214,почта,доступ и пароли,1,a05,2025-02-02 10:12:59,2025-02-02 12:13:29,решено,0,
t001150,2025-01-18 07:07:00,u08979,чат,доступ и пароли,2,a14,2025-01-18 08:03:25,2025-01-18 10:26:08,решено,0,
t003886,2025-01-22 09:57:00,u07927,чат,доступ и пароли,3,a04,2025-01-22 11:20:56,2025-01-22 11:49:52,решено,0,
t003093,2025-03-25 07:34:00,u02884,чат,доступ и пароли,2,a01,2025-03-25 08:33:19,2025-03-25 09:12:00,решено,0,5
t004960,2025-01-10 11:54:00,u03012,телефон,техническая проблема,1,a11,2025-01-10 12:15:45,2025-01-11 01:13:57,решено,0,
t001316,2025-05-07 06:16:00,u01425,чат,техническая проблема,1,a11,2025-05-07 06:38:23,2025-05-07 11:56:41,решено,0,4
t001374,2025-03-03 12:07:00,u01849,почта,доступ и пароли,3,a12,2025-03-03 12:19:12,2025-03-03 13:49:17,решено,0,
t001666,2025-05-20 03:24:00,u01947,чат,расписание и посещаемость,2,a02,2025-05-20 03:44:28,,в работе,0,
t005308,2025-05-17 01:48:00,u01141,форма,доступ и пароли,2,a08,2025-05-17 02:03:35,2025-05-17 02:43:34,закрыто без ответа,1,
t003948,2025-03-05 03:39:00,u03238,чат,техническая проблема,1,a01,2025-03-05 03:54:41,2025-03-05 13:49:33,решено,0,4
t004265,2025-02-19 01:49:00,u05882,чат,доступ и пароли,2,a14,2025-02-19 01:55:22,2025-02-19 02:26:48,решено,0,
t002888,2025-04-05 12:54:00,u07978,почта,,1,a01,2025-04-05 13:20:34,2025-04-05 15:07:33,решено,0,
t002912,2025-06-06 12:20:00,u06429,чат,техническая проблема,1,a07,2025-06-06 12:42:04,2025-06-06 21:17:59,решено,0,
t004798,2025-02-14 11:48:00,u05027,почта,оплата и документы,3,a09,2025-02-14 12:54:19,2025-02-14 13:04:05,решено,0,
t002474,15.05.2025 06:29,u02858,чат,техническая проблема,1,a06,2025-05-15 07:00:42,2025-05-15 13:30:02,решено,0,
t000432,22.06.2025 06:57,u03637,чат,прочее,1,a06,2025-06-22 07:20:36,2025-06-22 10:23:16,решено,0,
t001732,2025-06-19 03:06:00,u05506,почта,доступ и пароли,2,a08,2025-06-19 03:14:55,2025-06-19 04:19:30,решено,0,
t005901,2025-01-21 03:45:00,u08031,форма,техническая проблема,1,a07,2025-01-21 04:13:47,2025-01-21 21:23:51,решено,0,5
t002799,18.03.2025 13:08,u07759,чат,NULL,2,a01,2025-03-18 14:04:28,2025-03-18 15:53:27,решено,0,3
t003707,2025-04-21 02:20:00,u01211,почта,техническая проблема,2,a18,2025-04-21 02:29:03,,в работе,0,
t001615,2025-06-05 10:08:00,u01869,почта,NULL,1,a02,2025-06-05 10:22:21,2025-06-05 17:43:37,решено,0,
t005200,24.04.2025 09:06,u07655,чат,техническая проблема,2,a04,2025-04-24 09:35:09,2025-04-24 12:28:03,решено,0,
t001352,2025-04-02 01:20:00,u02420,почта,оплата и документы,2,a07,2025-04-02 01:33:18,2025-04-02 03:20:30,решено,0,
t002810,2025-05-06 03:49:00,u01940,форма,расписание и посещаемость,2,a17,2025-05-06 03:50:35,2025-05-06 05:32:42,решено,0,
t004356,14.04.2025 08:37,u03921,почта,техническая проблема,1,a04,2025-04-14 09:18:32,2025-04-14 16:31:35,решено,0,
t004837,2025-02-05 07:52:00,u03731,форма,доступ и пароли,2,a05,2025-02-05 07:59:18,2025-02-05 08:34:31,решено,0,5
t000706,2025-06-20 12:43:00,u07307,почта,расписание и посещаемость,2,a09,2025-06-20 13:02:01,2025-06-20 15:09:07,решено,0,
t002012,2025-04-05 16:56:00,u07646,почта,техническая проблема,1,a02,2025-04-05 17:16:27,2025-04-05 23:38:22,решено,0,
t004871,2025-06-22 07:35:00,u04899,чат,оплата и документы,1,a11,2025-06-22 07:41:02,2025-06-22 09:00:46,решено,0,
t005345,2025-01-09 04:01:00,u02470,почта,доступ и пароли,3,a02,2025-01-09 05:24:17,2025-01-09 06:10:02,решено,0,4
t002299,2025-05-18 11:14:00,u04402,чат,техническая проблема,2,a06,2025-05-18 11:38:13,2025-05-18 16:05:38,решено,0,1
t000619,2025-05-07 11:17:00,u06774,телефон,доступ и пароли,2,a18,2025-05-07 11:24:02,,в работе,0,
t005963,2025-01-11 02:22:00,u04931,чат,прочее,2,a12,2025-01-11 02:40:38,2025-01-11 06:21:09,решено,0,3
t004765,2025-02-24 03:31:00,u06613,чат,техническая проблема,2,a08,2025-02-24 04:47:49,2025-02-24 14:42:11,решено,0,
t000473,2025-05-25 05:08:00,u08268,почта,оплата и документы,2,a04,,,новое,0,
t004072,2025-03-05 06:21:00,u05815,чат,доступ и пароли,2,a03,,,новое,0,
t005859,2025-04-16 16:38:00,u06614,телефон,"",3,a02,2025-04-16 16:41:17,2025-04-16 19:50:47,решено,0,
t000992,08.02.2025 04:26,u02504,чат,доступ и пароли,2,a17,2025-02-08 05:58:49,2025-02-08 06:07:43,решено,0,4
t004641,2025-03-19 13:12:00,u08520,чат,техническая проблема,1,a09,2025-03-19 13:24:28,2025-03-20 02:33:52,решено,0,
t003349,2025-02-04 12:14:00,u07091,чат,доступ и пароли,1,a15,2025-02-04 12:33:32,2025-02-04 13:04:52,решено,0,5
t000971,19.04.2025 03:03,u08863,чат,техническая проблема,1,a10,2025-04-19 03:16:30,2025-04-20 02:24:07,решено,0,
t004854,2025-05-19 11:58:00,u01986,чат,доступ и пароли,3,a03,2025-05-19 12:25:37,2025-05-19 12:39:23,решено,0,5
t001458,2025-05-02 16:44:00,u05063,чат,оплата и документы,2,a04,2025-05-02 16:56:41,2025-05-02 18:10:56,решено,0,
t001373,2025-05-09 20:42:00,u00398,чат,техническая проблема,3,a04,2025-05-09 21:05:29,2025-05-10 03:39:46,решено,0,
t001911,2025-04-21 08:17:00,u00566,чат,оплата и документы,2,a11,2025-04-21 08:44:12,2025-04-21 13:12:40,решено,0,
t004994,2025-03-23 11:48:00,u06344,чат,оплата и документы,2,a11,2025-03-23 12:17:29,2025-03-23 15:31:33,решено,0,
t000323,2025-01-07 04:31:00,u08099,почта,оплата и документы,2,a01,2025-01-07 05:36:50,2025-01-07 06:19:19,решено,0,
t005911,2025-04-01 11:12:00,u07872,чат,доступ и пароли,3,a18,2025-04-01 11:36:05,,в работе,0,
t000151,09.03.2025 11:42,u02926,почта,доступ и пароли,2,a06,2025-03-09 11:55:43,2025-03-09 14:06:51,решено,0,
t000422,10.01.2025 12:03,u07079,почта,доступ и пароли,1,a09,2025-01-10 13:03:21,2025-01-10 13:04:15,решено,0,
t001285,2025-05-26 08:28:00,u00898,Чат,расписание и посещаемость,2,a06,2025-05-26 08:43:55,2025-05-26 13:19:10,закрыто без ответа,1,
t000561,2025-05-09 12:11:00,u01022,форма,оплата и документы,1,a15,2025-05-09 13:07:28,2025-05-09 16:45:23,решено,0,
t002501,04.05.2025 09:53,u01415,чат,оплата и документы,3,a08,2025-05-04 09:54:34,2025-05-04 13:57:18,решено,0,5
t002118,2025-03-23 03:30:00,u06709,почта,расписание и посещаемость,2,a02,2025-03-23 03:46:45,2025-03-23 07:33:02,решено,0,
t003705,2025-06-26 12:03:00,u01507,чат,"",2,a16,2025-06-26 12:25:41,2025-06-26 15:19:48,решено,0,
t004743,2025-06-07 10:17:00,u05942,почта,техническая проблема,2,a17,2025-06-07 10:41:58,,в работе,0,
t001380,15.01.2025 02:42,u00654,чат,оплата и документы,2,a06,2025-01-15 04:22:22,2025-01-15 08:17:35,решено,0,4
t003966,2025-06-05 11:40:00,u01792,чат,расписание и посещаемость,1,a18,2025-06-05 11:49:42,2025-06-05 15:45:29,решено,0,
t002166,2025-04-02 06:54:00,u04450,почта,оплата и документы,3,a12,2025-04-02 07:25:06,2025-04-02 17:31:59,решено,0,
t001250,11.06.2025 10:05,u03704,телефон,оплата и документы,2,a03,2025-06-11 10:08:10,2025-06-10 11:01:46,решено,0,
t003366,2025-06-09 09:17:00,u08589,чат,NULL,1,a18,2025-06-09 09:44:08,2025-06-10 03:05:57,решено,0,
t001866,2025-05-07 14:15:00,u05738,чат,оплата и документы,1,a05,2025-05-07 14:27:26,2025-05-07 18:50:29,решено,0,
t003549,2025-06-20 10:15:00,u08037,телефон,доступ и пароли,2,a18,2025-06-20 10:24:38,2025-06-20 11:18:43,решено,0,
t004636,16.02.2025 06:10,u01313,форма,оплата и документы,2,a02,2025-02-16 06:34:48,2025-02-16 11:10:39,решено,0,
t002648,22.01.2025 14:42,u01428,чат,доступ и пароли,2,a13,2025-01-22 15:37:59,2025-01-22 15:46:10,решено,0,
t000614,2025-05-23 13:43:00,u06546,Чат,оплата и документы,2,a03,2025-05-23 14:02:58,2025-05-23 15:53:58,решено,0,
t000963,2025-04-07 09:17:00,u03656,чат,оплата и документы,2,a12,2025-04-07 09:39:01,2025-04-07 11:40:34,решено,0,
t002041,2025-03-18 14:08:00,u04748,почта,оплата и документы,2,a08,2025-03-18 15:10:10,2025-03-19 01:31:05,решено,0,4
t000610,13.06.2025 08:20,u07003,чат,оплата и документы,2,a04,2025-06-13 08:33:28,,в работе,0,
t005644,2025-06-22 13:09:00,u02200,чат,доступ и пароли,3,a10,2025-06-22 14:08:59,,в работе,0,
t000617,2025-05-19 12:17:00,u08929,почта,расписание и посещаемость,2,a06,2025-05-19 12:36:41,2025-05-19 20:32:54,решено,0,
