ts,login,ip,action,object,result,auth_method,session_id,detail
2026-08-10 06:22:07,s.raifa,10.8.31.7,logout,panel,ok,session,s01027,
2026-08-10 06:25:20,m.zueva,77.88.21.141,add_note,ord-20279,ok,session,s01028,
10.08.2026 06:26:21,a.sokolov,10.8.14.22,view_client,ord-69841,ok,session,s01029,
2026-08-10 06:27:20,m.zueva,77.88.21.141,view_order,ord-80776,ok,session,s01028,
2026-08-10 06:27:21,a.sokolov,10.8.14.22,update_order,ord-35921,ok,session,s01029,
2026-08-10 06:29:20,m.zueva,77.88.21.141,search_client,ord-32085,ok,session,s01028,
2026-08-10 06:30:20,m.zueva,77.88.21.141,view_order,ord-38087,ok,session,s01028,
2026-08-10 06:32:21,a.sokolov,10.8.14.22,update_order,ord-37412,ok,session,s01029,
2026-08-10 06:32:21,a.sokolov,10.8.14.22,update_order,ord-20520,ok,session,s01029,
10.08.2026 06:35:20,m.zueva,77.88.21.141,update_order,ord-50914,ok,session,s01028,
2026-08-10 06:36:20,m.zueva,77.88.21.141,search_client,ord-83979,ok,session,s01028,
2026-08-10 06:40:20,m.zueva,77.88.21.141,add_note,ord-73860,ok,session,s01028,
2026-08-10 06:59:15,d.kravets,10.8.14.22,login,panel,ok,password+mfa,s01025,
2026-08-10 07:04:15,d.kravets,10.8.14.22,search_client,ord-98237,ok,session,s01025,
2026-08-10 07:06:15,d.kravets,10.8.14.22,add_note,ord-31810,ok,session,s01025,
2026-08-10 07:08:15,d.kravets,10.8.14.22,add_note,ord-41608,ok,session,s01025,
10.08.2026 07:14:20,m.zueva,77.88.21.141,logout,panel,ok,session,s01028,
2026-08-10 07:47:15,d.kravets,10.8.14.22,logout,panel,ok,session,s01025,
2026-08-10 07:52:34,i.bortnik,10.8.31.7,logout,panel,ok,session,s01026,
2026-08-10 08:11:21,a.sokolov,10.8.14.22,logout,panel,ok,session,s01029,
2026-08-10 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-11 05:00:23,p.kotov,10.8.14.23,login,panel,ok,password+mfa,s01034,
2026-08-11 05:07:23,p.kotov,10.8.14.23,view_client,ord-16833,ok,session,s01034,
11.08.2026 05:07:23,p.kotov,10.8.14.23,add_note,ord-14789,ok,session,s01034,
2026-08-11 05:08:40,d.kravets,10.8.14.23,login,panel,ok,password+mfa,s01030,
2026-08-11 05:12:40,d.kravets,10.8.14.23,add_note,ord-61998,ok,session,s01030,
2026-08-11 05:16:40,d.kravets,10.8.14.23,update_order,ord-50151,ok,session,s01030,
2026-08-11 05:17:40,d.kravets,10.8.14.23,search_client,ord-67372,ok,session,s01030,
2026-08-11 06:14:46,s.raifa,10.8.31.7,login,panel,ok,password+mfa,s01032,
2026-08-11 06:17:46,s.raifa,10.8.31.7,search_client,ord-89196,ok,session,s01032,
11.08.2026 06:21:46,s.raifa,10.8.31.7,add_note,ord-45694,ok,session,s01032,
2026-08-11 06:24:46,s.raifa,10.8.31.7,view_client,ord-70657,ok,session,s01032,
2026-08-11 06:26:05,i.bortnik,10.8.44.5,login,panel,ok,password+mfa,s01031,
2026-08-11 06:26:29,m.zueva,10.8.14.23,login,panel,ok,password+mfa,s01033,
2026-08-11 06:28:46,s.raifa,10.8.31.7,search_client,ord-60191,ok,session,s01032,
2026-08-11 06:29:05,i.bortnik,10.8.44.5,add_note,ord-18417,ok,session,s01031,
2026-08-11 06:33:05,i.bortnik,10.8.44.5,search_client,ord-78166,ok,session,s01031,
11.08.2026 06:33:29,m.zueva,10.8.14.23,view_order,ord-13178,ok,session,s01033,
2026-08-11 06:33:46,s.raifa,10.8.31.7,update_order,ord-85750,ok,session,s01032,
2026-08-11 06:34:29,m.zueva,10.8.14.23,search_client,ord-44072,ok,session,s01033,
2026-08-11 06:35:05,i.bortnik,10.8.44.5,view_client,ord-11288,ok,session,s01031,
2026-08-11 06:35:46,s.raifa,10.8.31.7,add_note,ord-25381,ok,session,s01032,
2026-08-11 06:37:46,s.raifa,10.8.31.7,view_client,ord-29566,ok,session,s01032,
2026-08-11 06:38:29,m.zueva,10.8.14.23,search_client,ord-46473,ok,session,s01033,
11.08.2026 06:39:29,m.zueva,10.8.14.23,view_client,ord-26748,ok,session,s01033,
2026-08-11 06:41:05,i.bortnik,10.8.44.5,search_client,ord-44244,ok,session,s01031,
2026-08-11 06:42:05,i.bortnik,10.8.44.5,add_note,ord-54151,ok,session,s01031,
2026-08-11 06:42:40,d.kravets,10.8.14.23,logout,panel,ok,session,s01030,
2026-08-11 06:45:05,i.bortnik,10.8.44.5,update_order,ord-44314,ok,session,s01031,
2026-08-11 06:50:05,i.bortnik,10.8.44.5,view_order,ord-35571,ok,session,s01031,
2026-08-11 06:51:23,p.kotov,10.8.14.23,logout,panel,ok,session,s01034,
11.08.2026 06:56:46,s.raifa,10.8.31.7,logout,panel,ok,session,s01032,
2026-08-11 07:56:29,m.zueva,10.8.14.23,logout,panel,ok,session,s01033,
2026-08-11 08:14:05,i.bortnik,10.8.44.5,logout,panel,ok,session,s01031,
2026-08-11 08:29:00,s.raifa,10.8.14.21,login,panel,fail,password,s01152,wrong_password
2026-08-11 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-12 05:17:28,d.kravets,10.8.14.22,login,panel,ok,password+mfa,s01035,
2026-08-12 05:24:28,d.kravets,10.8.14.22,view_order,ord-12590,ok,session,s01035,
12.08.2026 05:24:28,d.kravets,10.8.14.22,search_client,ord-36460,ok,session,s01035,
2026-08-12 05:28:28,d.kravets,10.8.14.22,add_note,ord-50367,ok,session,s01035,
2026-08-12 05:38:15,m.zueva,10.8.14.21,login,panel,ok,password+mfa,s01037,
2026-08-12 05:42:15,m.zueva,10.8.14.21,update_order,ord-66878,ok,session,s01037,
2026-08-12 05:44:15,m.zueva,10.8.14.21,update_order,ord-66215,ok,session,s01037,
2026-08-12 06:44:15,m.zueva,10.8.14.21,logout,panel,ok,session,s01037,
2026-08-12 06:50:28,d.kravets,10.8.14.22,logout,panel,ok,session,s01035,
12.08.2026 06:56:42,s.raifa,10.8.14.21,login,panel,ok,password+mfa,s01036,
2026-08-12 06:57:51,p.kotov,10.8.14.23,login,panel,ok,password+mfa,s01038,
2026-08-12 06:59:42,s.raifa,10.8.14.21,view_client,ord-17476,ok,session,s01036,
2026-08-12 07:01:51,p.kotov,10.8.14.23,view_client,ord-11615,ok,session,s01038,
2026-08-12 07:04:42,s.raifa,10.8.14.21,view_client,ord-25021,ok,session,s01036,
2026-08-12 07:04:51,p.kotov,10.8.14.23,view_client,ord-11634,ok,session,s01038,
2026-08-12 07:07:51,p.kotov,10.8.14.23,view_client,ord-50523,ok,session,s01038,
12.08.2026 07:08:42,s.raifa,10.8.14.21,search_client,ord-28124,ok,session,s01036,
2026-08-12 07:09:51,p.kotov,10.8.14.23,update_order,ord-23574,ok,session,s01038,
2026-08-12 07:12:42,s.raifa,10.8.14.21,view_order,ord-35168,ok,session,s01036,
2026-08-12 07:15:42,s.raifa,10.8.14.21,view_order,ord-14890,ok,session,s01036,
2026-08-12 07:15:51,p.kotov,10.8.14.23,update_order,ord-31547,ok,session,s01038,
2026-08-12 07:15:51,p.kotov,10.8.14.23,search_client,ord-44614,ok,session,s01038,
2026-08-12 07:19:51,p.kotov,10.8.14.23,search_client,ord-97806,ok,session,s01038,
12.08.2026 08:25:42,s.raifa,10.8.14.21,logout,panel,ok,session,s01036,
2026-08-12 08:45:00,d.kravets,10.8.14.23,login,panel,fail,password,s01153,wrong_password
2026-08-12 08:46:51,p.kotov,10.8.14.23,logout,panel,ok,session,s01038,
2026-08-12 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-13 05:28:48,p.kotov,10.8.44.5,login,panel,ok,password+mfa,s01042,
2026-08-13 05:32:48,p.kotov,10.8.44.5,update_order,ord-32210,ok,session,s01042,
2026-08-13 05:34:52,i.bortnik,10.8.14.21,login,panel,ok,password+mfa,s01040,
13.08.2026 05:37:48,p.kotov,10.8.44.5,update_order,ord-95533,ok,session,s01042,
2026-08-13 05:41:48,p.kotov,10.8.44.5,view_client,ord-80668,ok,session,s01042,
2026-08-13 05:41:52,i.bortnik,10.8.14.21,view_order,ord-84223,ok,session,s01040,
2026-08-13 05:41:52,i.bortnik,10.8.14.21,view_client,ord-29730,ok,session,s01040,
2026-08-13 05:44:48,p.kotov,10.8.44.5,search_client,ord-34931,ok,session,s01042,
2026-08-13 05:45:48,p.kotov,10.8.44.5,view_order,ord-20233,ok,session,s01042,
2026-08-13 05:46:52,i.bortnik,10.8.14.21,search_client,ord-43305,ok,session,s01040,
13.08.2026 05:49:43,d.kravets,10.8.14.23,login,panel,ok,password+mfa,s01039,
2026-08-13 05:49:48,p.kotov,10.8.44.5,search_client,ord-77910,ok,session,s01042,
2026-08-13 05:49:52,i.bortnik,10.8.14.21,add_note,ord-50276,ok,session,s01040,
2026-08-13 05:50:52,i.bortnik,10.8.14.21,view_order,ord-67233,ok,session,s01040,
2026-08-13 05:52:48,p.kotov,10.8.44.5,search_client,ord-21706,ok,session,s01042,
2026-08-13 05:52:52,i.bortnik,10.8.14.21,add_note,ord-12316,ok,session,s01040,
2026-08-13 05:53:43,d.kravets,10.8.14.23,view_order,ord-85861,ok,session,s01039,
13.08.2026 05:58:43,d.kravets,10.8.14.23,update_order,ord-95864,ok,session,s01039,
2026-08-13 05:59:43,d.kravets,10.8.14.23,add_note,ord-94797,ok,session,s01039,
2026-08-13 05:59:52,i.bortnik,10.8.14.21,search_client,ord-82651,ok,session,s01040,
2026-08-13 06:09:26,s.raifa,10.8.44.5,login,panel,ok,password+mfa,s01041,
2026-08-13 06:14:26,s.raifa,10.8.44.5,add_note,ord-56645,ok,session,s01041,
2026-08-13 06:18:26,s.raifa,10.8.44.5,view_client,ord-36783,ok,session,s01041,
2026-08-13 06:18:26,s.raifa,10.8.44.5,view_order,ord-82323,ok,session,s01041,
13.08.2026 06:21:26,s.raifa,10.8.44.5,search_client,ord-66429,ok,session,s01041,
2026-08-13 06:24:26,s.raifa,10.8.44.5,search_client,ord-47015,ok,session,s01041,
2026-08-13 06:31:26,s.raifa,10.8.44.5,view_order,ord-68225,ok,session,s01041,
2026-08-13 06:31:26,s.raifa,10.8.44.5,view_client,ord-40887,ok,session,s01041,
2026-08-13 06:36:16,a.sokolov,10.8.14.21,login,panel,ok,password+mfa,s01043,
2026-08-13 06:41:16,a.sokolov,10.8.14.21,view_client,ord-22279,ok,session,s01043,
2026-08-13 06:46:16,a.sokolov,10.8.14.21,add_note,ord-60073,ok,session,s01043,
13.08.2026 06:47:16,a.sokolov,10.8.14.21,view_order,ord-56003,ok,session,s01043,
2026-08-13 06:48:16,a.sokolov,10.8.14.21,update_order,ord-63522,ok,session,s01043,
2026-08-13 06:51:16,a.sokolov,10.8.14.21,add_note,ord-94226,ok,session,s01043,
2026-08-13 06:53:52,i.bortnik,10.8.14.21,logout,panel,ok,session,s01040,
2026-08-13 06:56:16,a.sokolov,10.8.14.21,add_note,ord-47182,ok,session,s01043,
2026-08-13 06:58:16,a.sokolov,10.8.14.21,update_order,ord-34616,ok,session,s01043,
2026-08-13 07:10:48,p.kotov,10.8.44.5,logout,panel,ok,session,s01042,
13.08.2026 07:37:43,d.kravets,10.8.14.23,logout,panel,ok,session,s01039,
2026-08-13 08:07:16,a.sokolov,10.8.14.21,logout,panel,ok,session,s01043,
2026-08-13 08:12:26,s.raifa,10.8.44.5,logout,panel,ok,session,s01041,
2026-08-13 12:32:00,m.zueva,10.8.14.23,login,panel,fail,password,s01154,wrong_password
2026-08-13 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-14 06:17:54,s.raifa,10.8.31.7,login,panel,ok,password+mfa,s01046,
2026-08-14 06:22:54,s.raifa,10.8.31.7,view_client,ord-37708,ok,session,s01046,
14.08.2026 06:24:54,s.raifa,10.8.31.7,update_order,ord-13513,ok,session,s01046,
2026-08-14 06:26:54,s.raifa,10.8.31.7,update_order,ord-92073,ok,session,s01046,
2026-08-14 06:29:54,s.raifa,10.8.31.7,view_order,ord-12762,ok,session,s01046,
2026-08-14 06:32:54,s.raifa,10.8.31.7,view_order,ord-36767,ok,session,s01046,
2026-08-14 06:48:36,d.kravets,10.8.44.5,login,panel,ok,password+mfa,s01044,
2026-08-14 06:54:36,d.kravets,10.8.44.5,update_order,ord-81160,ok,session,s01044,
