id,created_at,channel,requester,assignee,subject,body,action_taken,callback_verified
T-4402,2026-08-24 11:12:00,телефон,m.zueva,d.kravets,сброс MFA,Сотрудник m.zueva потерял доступ ко второму фактору. Личность подтверждена обратным звонком на номер из кадровой базы.,mfa_reset:m.zueva,yes
T-4340,2026-08-24 12:06:00,почта,s.raifa,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4339,2026-08-24 13:05:00,чат,s.raifa,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4338,2026-08-24 16:08:00,телефон,s.raifa,d.kravets,не открывается отчёт,—,консультация,n/a
T-4336,2026-08-24 18:13:00,телефон,watcher,d.kravets,не печатается накладная,—,консультация,n/a
T-4341,2026-08-25 10:09:00,чат,d.kravets,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4344,2026-08-25 11:18:00,чат,d.kravets,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4343,2026-08-25 14:59:00,чат,p.kotov,d.kravets,ошибка при оплате,—,консультация,n/a
T-4345,2026-08-25 17:21:00,телефон,i.bortnik,s.raifa,вопрос по возврату,—,консультация,n/a
T-4342,2026-08-25 17:33:00,телефон,a.sokolov,s.raifa,не печатается накладная,—,консультация,n/a
T-4348,2026-08-26 11:16:00,чат,d.kravets,d.kravets,не печатается накладная,—,консультация,n/a
T-4347,2026-08-26 18:22:00,телефон,p.kotov,i.bortnik,не приходит письмо,—,консультация,n/a
T-4346,2026-08-26 19:16:00,почта,watcher,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4351,2026-08-27 09:56:00,чат,k.efimov,d.kravets,не приходит письмо,—,консультация,n/a
T-4350,2026-08-27 11:02:00,чат,d.kravets,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4352,2026-08-27 12:05:00,чат,m.zueva,d.kravets,не печатается накладная,—,консультация,n/a
T-4353,2026-08-27 13:50:00,чат,i.bortnik,i.bortnik,не приходит письмо,—,консультация,n/a
T-4349,2026-08-27 15:42:00,чат,d.kravets,d.kravets,не приходит письмо,—,консультация,n/a
T-4356,2026-08-28 12:03:00,телефон,watcher,d.kravets,не печатается накладная,—,консультация,n/a
T-4355,2026-08-28 13:04:00,чат,a.sokolov,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4357,2026-08-28 15:59:00,чат,d.kravets,s.raifa,вопрос по возврату,—,консультация,n/a
T-4354,2026-08-28 19:10:00,чат,m.zueva,i.bortnik,не печатается накладная,—,консультация,n/a
T-4362,2026-08-29 11:14:00,телефон,watcher,d.kravets,не приходит письмо,—,консультация,n/a
T-4358,2026-08-29 12:02:00,телефон,m.zueva,d.kravets,вопрос по возврату,—,консультация,n/a
T-4361,2026-08-29 13:26:00,телефон,a.sokolov,s.raifa,ошибка при оплате,—,консультация,n/a
T-4359,2026-08-29 18:27:00,телефон,s.raifa,s.raifa,не печатается накладная,—,консультация,n/a
T-4360,2026-08-29 19:49:00,почта,watcher,d.kravets,не приходит письмо,—,консультация,n/a
T-4363,2026-08-30 09:54:00,чат,d.kravets,s.raifa,нужен доступ к панели,—,консультация,n/a
T-4366,2026-08-30 15:29:00,чат,m.zueva,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4364,2026-08-30 17:49:00,телефон,i.bortnik,s.raifa,вопрос по возврату,—,консультация,n/a
T-4365,2026-08-30 19:58:00,чат,k.efimov,d.kravets,не печатается накладная,—,консультация,n/a
T-4369,2026-08-31 15:08:00,почта,i.bortnik,d.kravets,не открывается отчёт,—,консультация,n/a
T-4418,2026-08-31 15:40:00,телефон,s.raifa,d.kravets,сброс MFA,Сотрудник s.raifa потерял доступ ко второму фактору. Личность подтверждена обратным звонком на номер из кадровой базы.,mfa_reset:s.raifa,yes
T-4367,2026-08-31 17:13:00,чат,watcher,d.kravets,не приходит письмо,—,консультация,n/a
T-4368,2026-08-31 18:39:00,чат,k.efimov,i.bortnik,не печатается накладная,—,консультация,n/a
T-4371,2026-09-01 14:23:00,телефон,watcher,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4370,2026-09-01 17:05:00,телефон,m.zueva,s.raifa,не открывается отчёт,—,консультация,n/a
T-4372,2026-09-02 09:37:00,почта,watcher,i.bortnik,не печатается накладная,—,консультация,n/a
T-4374,2026-09-02 12:19:00,чат,p.kotov,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4373,2026-09-02 17:50:00,почта,a.sokolov,d.kravets,не открывается отчёт,—,консультация,n/a
T-4376,2026-09-02 18:27:00,почта,p.kotov,s.raifa,не открывается отчёт,—,консультация,n/a
T-4375,2026-09-02 19:23:00,телефон,a.sokolov,i.bortnik,вопрос по возврату,—,консультация,n/a
T-4380,2026-09-03 10:59:00,почта,i.bortnik,s.raifa,не открывается отчёт,—,консультация,n/a
T-4381,2026-09-03 13:22:00,чат,a.sokolov,s.raifa,вопрос по возврату,—,консультация,n/a
T-4379,2026-09-03 13:43:00,почта,a.sokolov,d.kravets,ошибка при оплате,—,консультация,n/a
T-4377,2026-09-03 16:39:00,чат,p.kotov,s.raifa,нужен доступ к панели,—,консультация,n/a
T-4378,2026-09-03 18:05:00,почта,i.bortnik,i.bortnik,вопрос по возврату,—,консультация,n/a
T-4437,2026-09-04 10:05:00,телефон,i.bortnik,d.kravets,сброс MFA,Сотрудник i.bortnik потерял доступ ко второму фактору. Личность подтверждена обратным звонком на номер из кадровой базы.,mfa_reset:i.bortnik,yes
T-4383,2026-09-04 14:52:00,чат,k.efimov,d.kravets,не печатается накладная,—,консультация,n/a
T-4382,2026-09-04 18:39:00,телефон,watcher,i.bortnik,не печатается накладная,—,консультация,n/a
T-4385,2026-09-05 14:16:00,почта,a.sokolov,i.bortnik,не печатается накладная,—,консультация,n/a
T-4384,2026-09-05 16:31:00,чат,d.kravets,i.bortnik,не печатается накладная,—,консультация,n/a
T-4387,2026-09-06 13:25:00,телефон,p.kotov,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4386,2026-09-06 17:27:00,телефон,a.sokolov,s.raifa,нужен доступ к панели,—,консультация,n/a
T-4388,2026-09-07 10:35:00,почта,watcher,s.raifa,не открывается отчёт,—,консультация,n/a
T-4389,2026-09-07 12:34:00,чат,m.zueva,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4391,2026-09-08 11:46:00,чат,d.kravets,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4392,2026-09-08 15:54:00,почта,k.efimov,s.raifa,вопрос по возврату,—,консультация,n/a
T-4390,2026-09-08 18:05:00,телефон,p.kotov,d.kravets,не открывается отчёт,—,консультация,n/a
T-4394,2026-09-09 09:17:00,почта,watcher,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4455,2026-09-09 16:22:00,телефон,p.kotov,s.raifa,сброс MFA,Сотрудник p.kotov потерял доступ ко второму фактору. Личность подтверждена обратным звонком на номер из кадровой базы.,mfa_reset:p.kotov,yes
T-4393,2026-09-09 18:37:00,телефон,s.raifa,d.kravets,не приходит письмо,—,консультация,n/a
T-4395,2026-09-10 09:30:00,телефон,i.bortnik,i.bortnik,вопрос по возврату,—,консультация,n/a
T-4396,2026-09-10 10:14:00,почта,i.bortnik,s.raifa,не открывается отчёт,—,консультация,n/a
T-4397,2026-09-10 14:13:00,телефон,i.bortnik,s.raifa,не печатается накладная,—,консультация,n/a
T-4399,2026-09-11 09:42:00,телефон,i.bortnik,i.bortnik,не приходит письмо,—,консультация,n/a
T-4398,2026-09-11 11:27:00,почта,watcher,d.kravets,нужен доступ к панели,—,консультация,n/a
T-4401,2026-09-11 12:30:00,почта,k.efimov,d.kravets,не открывается отчёт,—,консультация,n/a
T-4400,2026-09-11 14:51:00,почта,i.bortnik,i.bortnik,не приходит письмо,—,консультация,n/a
T-4402,2026-09-11 16:30:00,телефон,s.raifa,s.raifa,ошибка при оплате,—,консультация,n/a
T-4471,2026-09-11 23:14:00,телефон,a.sokolov,d.kravets,срочный сброс MFA,"Звонок от Соколова: в аэропорту, вылет через час, второй фактор не приходит, сорвётся ночная интеграция. Ссылается на письмо, которое прислал вечером. Обратный звонок не делала — он сам позвонил с номера, похожего на рабочий, и очень торопил.",mfa_reset:a.sokolov,no
